Parameters,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(80,)","(5,)"," 247,422 ", 379 ," (73,773)", 3 ," (60,333)", 4 , 44 , 9 ," (52,143)", 30 ," (28,846)"," 32,004 "," (25,494)"," 7,727 "," (4,919)", 189 , 190 , 50 
"(85,)","(5,)"," 264,390 ", 405 ," (79,401)", 3 ," (76,650)", 3 , 47 , 12 ," (48,349)", 28 ," (30,705)"," 32,634 "," (27,216)"," 6,744 "," (4,724)", 202 , 203 , 50 
"(85,)","(7,)"," 281,358 ", 337 ," (84,861)", 3 ," (80,913)", 3 , 48 , 12 ," (50,435)", 31 ," (29,730)"," 31,059 "," (25,872)"," 7,576 "," (5,531)", 168 , 169 , 50 
"(25,)","(8,)"," 295,218 ", 604 ," (89,670)", 3 ," (89,082)", 3 , 48 , 9 ," (51,476)", 34 ," (26,211)"," 26,271 "," (20,055)"," 5,603 "," (4,298)", 302 , 302 , 50 
"(85,)","(3,)"," 242,340 ", 557 ," (74,739)", 3 ," (61,719)", 4 , 43 , 7 ," (58,203)", 26 ," (29,484)"," 33,894 "," (25,494)"," 5,943 "," (3,718)", 278 , 279 , 50 
"(55,)","(8,)"," 256,452 ", 374 ," (79,695)", 3 ," (73,227)", 4 , 48 , 4 ," (61,094)", 19 ," (25,874)"," 24,276 "," (29,862)"," 7,177 "," (5,345)", 187 , 187 , 50 
"(35,)","(7,)"," 334,320 ", 521 ," (104,223)", 3 ," (91,665)", 4 , 48 , 5 ," (68,838)", 30 ," (25,052)"," 26,712 "," (24,549)"," 6,455 "," (4,633)", 260 , 261 , 50 
"(15,)","(7,)"," 359,310 ", 884 ," (112,224)", 3 ," (110,292)", 3 , 48 , 8 ," (48,326)", 31 ," (24,306)"," 26,355 "," (19,383)"," 4,694 "," (3,545)", 442 , 442 , 50 
"(90,)","(3,)"," 358,680 ", 500 ," (112,581)", 3 ," (101,199)", 4 , 47 , 9 ," (51,305)", 30 ," (27,142)"," 34,167 "," (27,216)"," 5,959 "," (4,065)", 250 , 250 , 50 
"(90,)","(4,)"," 292,026 ", 416 ," (91,707)", 3 ," (84,525)", 3 , 44 , 10 ," (53,065)", 25 ," (31,927)"," 32,907 "," (27,216)"," 7,056 "," (4,488)", 208 , 208 , 50 
"(95,)","(5,)"," 327,222 ", 356 ," (104,097)", 3 ," (89,922)", 4 , 46 , 5 ," (59,186)", 23 ," (27,048)"," 32,172 "," (28,539)"," 7,447 "," (4,859)", 178 , 178 , 50 
"(95,)","(7,)"," 320,502 ", 294 ," (102,165)", 3 ," (92,568)", 3 , 47 , 5 ," (67,494)", 22 ," (29,371)"," 50,211 "," (26,481)"," 8,503 "," (5,736)", 147 , 147 , 50 
"(80,)","(4,)"," 282,408 ", 441 ," (90,489)", 3 ," (81,711)", 3 , 46 , 7 ," (49,548)", 29 ," (26,000)"," 32,928 "," (26,691)"," 6,909 "," (4,568)", 220 , 221 , 50 
"(5,)","(6,)"," 369,306 "," 1,701 "," (119,469)", 3 ," (117,096)", 3 , 47 , 8 ," (56,718)", 32 ," (27,332)"," 26,040 "," (20,076)"," 3,349 "," (2,545)", 851 , 850 , 50 
"(80,)","(7,)"," 231,000 ", 321 ," (75,075)", 3 ," (66,423)", 3 , 46 , 9 ," (52,325)", 29 ," (29,873)"," 29,442 "," (27,258)"," 8,346 "," (5,733)", 160 , 161 , 50 
"(40,)","(7,)"," 294,042 ", 481 ," (95,907)", 3 ," (90,888)", 3 , 48 , 6 ," (58,296)", 26 ," (25,019)"," 27,468 "," (24,171)"," 6,457 "," (4,782)", 240 , 241 , 50 
"(80,)","(3,)"," 251,538 ", 531 ," (82,656)", 3 ," (71,568)", 4 , 45 , 8 ," (49,547)", 28 ," (26,612)"," 32,781 "," (26,691)"," 5,946 "," (4,005)", 265 , 266 , 50 
"(90,)","(9,)"," 268,800 ", 276 ," (88,851)", 3 ," (80,976)", 3 , 47 , 6 ," (59,910)", 20 ," (29,796)"," 49,854 "," (31,017)"," 8,894 "," (6,376)", 138 , 138 , 50 
"(55,)","(7,)"," 255,612 ", 400 ," (87,171)", 3 ," (84,567)", 3 , 48 , 5 ," (55,175)", 21 ," (25,026)"," 23,919 "," (30,639)"," 6,910 "," (5,116)", 200 , 200 , 50 
"(35,)","(6,)"," 343,854 ", 557 ," (117,474)", 3 ," (101,556)", 3 , 47 , 7 ," (64,839)", 28 ," (27,939)"," 27,048 "," (24,171)"," 6,232 "," (4,418)", 278 , 279 , 50 
"(40,)","(8,)"," 304,752 ", 447 ," (104,202)", 3 ," (99,372)", 3 , 49 , 7 ," (53,958)", 27 ," (24,834)"," 26,922 "," (24,549)"," 6,588 "," (5,042)", 223 , 224 , 50 
"(30,)","(8,)"," 341,754 ", 524 ," (117,978)", 3 ," (105,630)", 3 , 50 , 9 ," (47,621)", 24 ," (27,000)"," 26,775 "," (24,171)"," 6,136 "," (4,724)", 262 , 262 , 50 
"(10,)","(3,)"," 373,002 "," 1,793 "," (129,759)", 3 ," (128,457)", 3 , 46 , 5 ," (62,903)", 25 ," (26,487)"," 28,098 "," (19,278)"," 3,258 "," (2,439)", 897 , 896 , 50 
"(95,)","(10,)"," 284,844 ", 252 ," (99,435)", 3 ," (89,691)", 3 , 47 , 8 ," (51,266)", 18 ," (32,272)"," 49,266 "," (31,017)"," 9,380 "," (6,283)", 126 , 126 , 50 
"(5,)","(2,)"," 366,408 "," 3,456 "," (128,079)", 3 ," (128,079)", 3 , 47 , 6 ," (63,648)", 29 ," (26,522)"," 32,634 "," (15,330)"," 2,251 "," (1,766)"," 1,728 "," 1,728 ", 50 
"(65,)","(8,)"," 322,476 ", 332 ," (113,547)", 3 ," (107,604)", 3 , 48 , 7 ," (51,429)", 32 ," (23,985)"," 25,599 "," (26,964)"," 8,256 "," (5,825)", 166 , 166 , 50 
"(75,)","(2,)"," 294,546 ", 731 ," (105,777)", 3 ," (97,230)", 3 , 44 , 6 ," (59,938)", 29 ," (25,858)"," 33,075 "," (21,609)"," 4,899 "," (3,116)", 365 , 366 , 50 
"(50,)","(7,)"," 349,482 ", 412 ," (126,273)", 3 ," (122,409)", 3 , 49 , 7 ," (57,543)", 23 ," (29,347)"," 28,623 "," (24,717)"," 7,153 "," (5,286)", 206 , 206 , 50 
"(90,)","(10,)"," 257,628 ", 268 ," (93,261)", 3 ," (86,226)", 3 , 46 , 6 ," (63,116)", 22 ," (28,520)"," 49,140 "," (30,240)"," 9,343 "," (6,387)", 134 , 134 , 50 
"(80,)","(6,)"," 234,360 ", 351 ," (84,861)", 3 ," (81,900)", 3 , 44 , 8 ," (54,876)", 28 ," (30,007)"," 31,206 "," (25,536)"," 8,200 "," (5,227)", 175 , 176 , 50 
"(35,)","(10,)"," 324,744 ", 449 ," (117,747)", 3 ," (113,526)", 3 , 50 , 7 ," (59,931)", 28 ," (28,108)"," 31,206 "," (24,129)"," 6,805 "," (5,217)", 224 , 225 , 50 
"(5,)","(8,)"," 379,344 "," 1,251 "," (138,936)", 3 ," (132,258)", 3 , 47 , 8 ," (56,416)", 25 ," (29,757)"," 26,145 "," (18,480)"," 4,009 "," (2,967)", 626 , 625 , 50 
"(50,)","(9,)"," 372,876 ", 368 ," (138,327)", 3 ," (134,064)", 3 , 52 , 6 ," (65,978)", 26 ," (27,053)"," 27,468 "," (26,859)"," 7,422 "," (5,989)", 184 , 184 , 50 
"(25,)","(9,)"," 250,950 ", 580 ," (93,639)", 3 ," (89,271)", 3 , 48 , 12 ," (47,330)", 29 ," (29,291)"," 26,943 "," (20,874)"," 5,593 "," (4,400)", 290 , 290 , 50 
"(15,)","(6,)"," 314,958 ", 964 ," (117,663)", 3 ," (114,009)", 3 , 47 , 10 ," (45,656)", 28 ," (25,655)"," 26,901 "," (22,575)"," 4,498 "," (3,406)", 482 , 482 , 50 
"(50,)","(5,)"," 381,780 ", 478 ," (142,821)", 3 ," (137,046)", 3 , 49 , 7 ," (53,106)", 32 ," (24,775)"," 31,311 "," (24,906)"," 6,628 "," (4,897)", 239 , 239 , 50 
"(30,)","(2,)"," 376,446 "," 1,266 "," (141,813)", 3 ," (134,757)", 3 , 43 , 6 ," (72,058)", 33 ," (25,299)"," 26,208 "," (19,320)"," 3,907 "," (2,451)", 633 , 633 , 50 
"(75,)","(4,)"," 273,084 ", 433 ," (103,761)", 3 ," (88,431)", 3 , 46 , 7 ," (55,563)", 19 ," (32,430)"," 32,004 "," (23,625)"," 6,822 "," (4,634)", 216 , 217 , 50 
"(95,)","(9,)"," 281,232 ", 268 ," (107,730)", 3 ," (98,028)", 3 , 46 , 5 ," (66,410)", 20 ," (29,227)"," 49,266 "," (29,757)"," 9,060 "," (5,987)", 134 , 134 , 50 
"(45,)","(5,)"," 362,586 ", 514 ," (139,818)", 3 ," (136,038)", 3 , 48 , 6 ," (56,546)", 27 ," (24,186)"," 26,712 "," (23,100)"," 6,439 "," (4,553)", 257 , 257 , 50 
"(90,)","(7,)"," 271,278 ", 312 ," (105,693)", 3 ," (91,896)", 3 , 47 , 8 ," (54,826)", 24 ," (29,637)"," 49,014 "," (27,804)"," 8,086 "," (5,805)", 156 , 156 , 50 
